""," 偏回帰係数","標準誤差","t値","P値","標準化偏回帰係数","トレランス"
"PC1",-0.415781072074128,0.0377213163227985,-11.0224433451924,2.2030783715146e-18,-0.725786007148505,1
"PC2",-0.0785485501657074,0.0562396615898549,-1.39667537010708,0.165945969921868,-0.0919657655210186,1
"PC3",-0.0628946322678465,0.0600504080230915,-1.04736394536506,0.297736401218399,-0.068964935643726,1
"PC4",-0.0617556776344573,0.0704092498812268,-0.877096088065599,0.382769715221633,-0.0577534442869565,1
"PC5",0.108380271521209,0.0832749163802507,1.30147559712126,0.196417422059787,0.0856972222449979,1
"PC6",-0.0668312397116375,0.0936190190968162,-0.713863917357689,0.477158567657661,-0.0470052261554521,1
"PC7",0.0653767612594517,0.0954128844703154,0.685198457445143,0.494979724290319,0.0451177145537639,1
"PC8",-0.119818804489937,0.104879998907753,-1.14243712564607,0.256302533446923,-0.0752251432712086,1
"PC9",0.265573392931468,0.110258376293267,2.4086459628708,0.0180502417221685,0.15860018339662,1
"PC10",-0.0413718702038049,0.126970892420264,-0.325837437346406,0.745303736075391,-0.0214551570123785,1
"PC11",0.122130090036415,0.132720860278311,0.920202670328635,0.359926773240138,0.0605918489167389,1
"PC12",0.179702949930453,0.142400534164704,1.26195418426313,0.210225894919953,0.0830948873962842,1
"PC13",-0.200068034235777,0.14790851465898,-1.35264717313305,0.179556998005815,-0.0890666760648079,1
"PC14",-0.0483316338357218,0.160860693789823,-0.300456455191415,0.764521949019853,-0.0197839157894592,1
"PC15",-0.155968956812157,0.180798358856406,-0.862667989901563,0.390612974980377,-0.0568034088520464,1
"PC16",0.0513617363011767,0.188794790263477,0.272050601764475,0.786206241396433,0.0179134982882999,1
"PC17",-0.116573349699477,0.225357241411278,-0.517282466582605,0.606228018575949,-0.0340610846643789,1
"定数項",4.55555555555556,0.0846916522142263,53.7899006153799,3.23086374080944e-70,NA,NA
