"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"Q2",-0.781154650439574,0.140136837592091,-0.0915092610141308,-0.138595244691515,0.210655230092557,-0.298786444820622,0.140394080179419,-0.0700931454827749,0.0484728651583282,-0.0182704155228336,0.130519567141809,0.257680001766683,-0.0710546677591018,0.238941251881979,-0.122468161643705,0.0474761121281735,-0.13708425445322
"Q3",-0.143695030899547,0.564508096305262,0.280274843896968,-0.457113447657392,-0.0458012759173935,-0.195560628737005,0.156237880476155,0.457388255134228,-0.194043527224297,-0.173963640221192,-0.0400853916982359,-0.074505452081205,0.0172243866138586,-0.0173564921472915,-0.0397274996177143,-0.14651228185434,0.0224378622822183
"Q4",-0.566720145249028,0.380723962228146,0.480838814826356,0.113290040429279,0.041053429594612,0.210511227048194,-0.0744961531257834,0.0948703657605642,0.368820911667165,0.0842572855073003,-0.0410809064367058,0.136319719388977,-0.0979022028147322,0.121330740243178,0.0501159172247679,-0.0375753333870852,0.194057094770754
"Q5",-0.706425580238236,0.115500665584181,0.309718685912391,0.238719999903791,0.0610987562515784,0.0228579409149881,0.0223624741658983,-0.369585396365498,-0.107485556200844,-0.197681895102973,0.267282403708055,-0.0184159308757573,-0.0423786375299336,-0.171896146180487,-0.00174184758035963,-0.198481630226722,0.0144247112678796
"Q6",-0.575655031559404,0.222764761903157,0.454664592169036,0.414824532321989,-0.0771896734000239,0.0575843949831514,0.103947373567503,-0.086874951381259,-0.059847290081968,-0.200414150796755,-0.18322000226389,-0.183999549765065,0.234137609392298,0.118188953730422,-0.0645177086418293,0.165853883703207,-0.0306481930167999
"Q7",-0.588958762569557,-0.525662435411434,-0.128611063128716,0.174150647385677,0.286267636922447,-0.23168668605808,0.155726848997359,0.0994537205101318,-0.054529350632117,-0.0308377836165217,-0.0393773951246986,-0.216047572104894,-0.144971394356842,0.133122520382764,0.259672608603276,-0.0312973495634609,0.0294669641615471
"Q8",-0.656755802800428,0.314918153464082,0.264750126832051,0.206482959302473,0.0513979335270406,0.141725682022911,0.0178509416018829,0.148978805789721,-0.253251044354459,0.456493351784241,0.0508440240368407,-0.0635813230712216,-0.0911682856247602,-0.106925512025989,0.00215082248327552,0.0552599387994167,-0.0978585374287884
"Q9",-0.47286961357897,-0.436858325101264,-0.198934576153839,0.200651576600949,0.536251336689704,0.109208585557446,0.0873253289233315,0.249311023725366,0.173953201157872,-0.0282907658741337,-0.12935752049927,0.0673256233428637,0.143508634418026,-0.192898601780423,-0.147777631237849,-0.0655053143766522,-0.0133953781456914
"Q10",-0.547365822699369,-0.296706669591657,-0.0960121339047738,0.0743449715798634,-0.0352386788573352,-0.122228989354963,-0.675824931176092,0.0760446624386466,-0.298012892864597,-0.00402988690408643,-0.0419849293400986,0.0512809611085339,0.0468839782222823,0.0925397973844887,-0.0827536866747178,-0.0380063822393653,0.0814353133744932
"Q11",-0.532309032918405,0.373883487411058,-0.0247410337848891,-0.349205793131141,0.0479946966944122,-0.399472400813937,-0.272458892165163,-0.203642876718551,0.283401392654753,0.069895914186644,-0.187975321807972,-0.110204878421098,0.0393147690104797,-0.181547285922173,0.0756823984737614,0.0332566435309725,-0.0519128562478178
"Q12",-0.553204319509688,-0.373252241265066,-0.0910591839170619,-0.541016918332372,-0.076482421761494,0.120630068959263,0.2243985644334,-0.226773656956437,-0.0439799701684986,0.124154896262115,-0.0717866559491528,-0.19647817167051,-0.092156146309082,0.0361495222449752,-0.212428346139273,0.008741934460259,0.123963881450455
"Q13",-0.588107650377789,-0.387799445474416,0.107827862520662,-0.362319361113532,-0.288480922927123,0.393263116501617,-0.108044575716495,0.0598995263023547,0.145303383368265,-0.00453759740526326,0.0108562155373198,-0.0219619195735787,0.131521278484178,0.094622957060929,0.104823260426162,-0.135730716239255,-0.174080925741508
"Q14",-0.756583644878889,-0.289749218580164,0.0163065989151208,-0.245526735143874,-0.230763155060493,0.0522152890709843,0.116586454334311,0.0824105183230038,-0.135622371326845,-0.153129544178459,0.0127751812560144,0.243912853735485,-0.015907096410854,-0.193869007992132,0.128345671803319,0.216773941932401,0.0625681952660619
"Q15",-0.378011632452681,0.403014748575208,-0.67342269725547,-0.0801211333548969,0.0684312809671087,0.0584369699506334,0.0197032975503423,0.0634935626638124,0.0470697440906106,0.0706004581263262,0.325454620759664,-0.110578440472756,0.283423096688993,0.0416313581991401,0.0560599119513553,0.0525856813897129,0.09451637086453
"Q16",-0.283407266525001,0.446983796496103,-0.632023848641063,0.134458647070832,-0.0836221767442712,0.130425782543885,0.179767071433757,-0.190256680008381,-0.20301854250167,0.0421944321373458,-0.333820659127535,0.16483148687047,0.0354041464261129,0.0351274083901185,0.0788421472997417,-0.13875841833233,0.016590810462533
"Q17",-0.405395349687952,0.282274468056789,-0.598066585435052,0.260007421682865,-0.257615007039864,0.167091412351849,-0.12754785743158,0.172070608497573,0.156022002608866,-0.207648073342497,0.0134998353814711,-0.141071104426617,-0.294733509849413,-0.0410180617072802,-0.0929524759178314,0.0482259793816463,-0.0588755654849721
"Q18",-0.248604893328055,-0.334383686434067,-0.0377845582205413,0.399655670005271,-0.616765578052577,-0.402761471099337,0.197876818282403,0.108057381306258,0.152082111288024,0.155450663669879,0.0302653420431891,0.0329589899358291,0.0903203276831036,-0.0343152479867398,-0.0611571332032619,-0.0921412649055371,0.0303471131879634
