"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17"
"Q2",-0.94289889570075,0.0011587976370231,0.0357727973762692,-0.0381693466438826,-0.24233457659257,-0.0499666413444789,0.0104982702636215,-0.0239702788077473,-0.0320631993012029,0.0495010889655414,0.162776622896634,-0.0935390654013223,0.0153144062222033,0.0672262231090449,0.0209665907846946,0.0194891046958037,0.044707112369168
"Q3",-0.558012790757689,0.748163708254666,-0.20966755364634,-0.169874186042588,-0.107539717293991,-0.110962557409036,-0.0281105548813695,0.0956561170992488,-0.0681011047265279,0.00966509533926173,-0.0812626132915525,0.0369325940870246,0.0373568057915055,0.00578918859414783,0.0717182022518295,-0.0543776755450744,0.00300195866098649
"Q4",-0.884929901667654,0.20523279835785,0.0264924128293756,-0.303679508793343,-0.0806523181645422,-0.128238525473624,-0.0923828558529368,-0.00568794629701435,0.032832142673468,-0.189851733465044,0.0122270026122241,-0.0768818697510949,-0.0318463338156408,-0.0705676396518635,0.0098945764589547,0.0306575703389033,-0.0111755624991912
"Q5",-0.920781434587144,-0.146248577428736,0.0408503308581047,-0.301825996901697,0.0537944158451516,0.0300674416227192,0.0424795350002749,-0.000387641075062024,0.0309920838839904,0.132490566173246,0.0170033270721894,-0.0400566661078355,-0.0752097723867057,-0.0266655476002616,-0.0444304792962926,-0.0599243472279594,0.00788700256361251
"Q6",-0.657076688084781,-0.134390953287049,0.606652317094111,-0.139757246987459,0.304481407227263,0.209447291712474,-0.035979798636872,-0.0234435310026228,0.132021120227164,0.0174133704768319,0.022426244744576,-0.0142868921952012,0.0210761768632572,0.0307014870602276,0.0583830726292421,0.000334436231040958,-0.0312025698447804
"Q7",-0.323081714951718,-0.867852196577276,-0.167807968394488,0.0218449052273004,0.0885987061084291,-0.161425662431861,-0.00579365371443231,-0.233107091621595,-0.00189696018071193,-0.133103870425126,-0.00956791004729644,0.0642284847903967,-0.0176705412410001,0.0326208537984212,0.023281854082394,-0.0362168707927457,0.0191426718209854
"Q8",-0.866846589071938,0.234944990163338,0.129519802924523,-0.130785332534179,0.292019096312065,0.124203811912157,-0.0954777915051008,0.0194723812158868,-0.180879253663214,-0.00423593710141757,-0.0084988443945486,0.114490963054439,-0.00767404344560408,-0.00444151372247431,-0.0179768064234819,0.0326896082872728,0.0437571212295939
"Q9",-0.173364194055372,-0.407495533934562,0.79211998695767,0.195482338262398,0.0183904478627594,-0.260375358428101,0.149972984779603,0.194026861314437,-0.0809836397776293,-0.0466691215499132,-0.0242804383249991,-0.0145652757312509,-0.00177121507269156,-0.0110203940416167,-0.000548059729642658,-0.013124089910291,0.01085360100664
"Q10",-0.414510110443245,-0.644587141899578,-0.445247170655844,-0.0429635042043831,0.259028463472077,-0.321994445665773,-0.11405583187544,0.0848315089979386,-0.00389343900596932,0.133790917321699,-0.0144918893250536,-0.0345754332434347,0.0322416493662341,-0.011657833352104,0.0107546385371775,0.0273411374514296,-0.0160412153763284
"Q11",-0.940681060400398,0.150031327007967,0.0341137285253864,-0.138123891949634,-0.0938301331141964,-0.126580448858284,0.108350493955671,-0.0183852695464075,0.0425704643977821,-0.023901835469606,0.0960352073211033,0.116526051610809,0.0719927728156675,0.01015806465563,-0.058056093989572,-0.00351289920704665,-0.0401200183997874
"Q12",-0.819156760656459,-0.393748218899271,0.103761674406556,-0.0625903972087203,-0.238344496652519,0.0993792093854733,0.180639650034378,-0.144437667626286,-0.00327059008034229,0.0877200132011551,-0.164960734485751,0.000720737412910544,0.0351053167137466,-0.0406479610556418,0.0140961780613705,0.0311806467652761,0.0104696476258974
"Q13",-0.784807467092492,-0.382201048965224,0.0120196435357295,0.338104324749112,-0.11340242368906,0.179449720870741,-0.246973754801559,0.0650542974051079,0.0670135000608965,-0.0225156186560067,0.0180178903070722,-0.00503624039276483,0.0583503297901625,-0.052707976381036,-0.0164305034819827,-0.0313665565538996,0.0215800345775483
"Q14",-0.874436017557148,-0.321765497432059,-0.00168029629730356,0.114119158251418,-0.233132619293065,0.0950767409834267,-0.142798096388112,0.0565360059893528,-0.129999321358304,-0.0068986753223147,-0.07069182632494,0.00416116683107795,-0.053881337508519,0.061858066454441,-0.00898177863041423,0.00710672812741963,-0.0547880213464581
"Q15",-0.833556902548354,0.329511449605768,-0.104569174180198,0.335245556846254,-0.0495217898064655,-0.105442963424951,0.0407980097818391,0.051828668762547,0.18470108912897,0.0449874129311068,0.0139206231382718,0.109172660119265,-0.0747360337149869,-0.00766244665226251,0.0288153090966426,0.0231050973479693,0.0100157880275492
"Q16",-0.77375982693606,0.264640621729602,-0.25892661272446,0.377879831272594,0.196990525921097,0.0874518352249309,0.171866703143326,-0.0937530808108972,-0.148555607975188,-0.00604197498748701,0.0881853643636433,-0.0579425313034823,-0.00231416797523108,-0.0445325868851597,0.0211992084964638,-0.0109946761032709,-0.0290852838577599
"Q17",-0.836508188661887,0.209593336893156,-0.35948353298681,0.077114710182224,0.204042851078821,0.070565297080102,0.131376343339347,0.10185429903473,0.0958012708200391,-0.10368245769793,-0.12164719745602,-0.0808370339220013,0.0179314226222017,0.0589180270224743,-0.0393467924596935,0.000231452016356277,0.0173467768584171
"Q18",0.186647019231098,-0.77846934012511,-0.40685980859756,-0.21012814195089,-0.0669436696557652,0.240059494105037,0.161313683867512,0.220154407327699,-0.00815319080769036,-0.0538260205863714,0.0765488209778933,0.0518770833425345,-0.00821742932855348,-0.0152080525481405,0.0321059112325435,0.00364171905118302,0.00142199765840068
